Year Age Catch
1995 11 521
1995 12 106
1995 13 35
1995 14 13
1996 3 1102
1996 4 2608
1996 5 1868
1996 6 1649
1996 7 835
1996 8 1233
1996 9 385
1996 10 267
1996 11 210
1996 12 232
1996 13 141
1996 14 74
1997 3 603
1997 4 2960
1997 5 2766
1997 6 1651
1997 7 1178
1997 8 599
1997 9 454
1997 10 125
1997 11 95
1997 12 114
1997 13 77
1997 14 43
1998 3 183
1998 4 1289
1998 5 1767
1998 6 1545
1998 7 1114
1998 8 658
1998 9 351
1998 10 265
1998 11 120
1998 12 81
1998 13 85
1998 14 85
1999 3 989
1999 4 732
1999 5 1564
1999 6 2176
1999 7 1934
1999 8 669
1999 9 324
1999 10 140
1999 11 72
1999 12 25
1999 13 28
1999 14 22
2000 3 850
2000 4 2383
2000 5 896
2000 6 1511
2000 7 1612
2000 8 1806
2000 9 335
2000 10 173
2000 11 57
2000 12 33
2000 13 17
2000 14 7
2001 3 1223
2001 4 2619
2001 5 2184
2001 6 591
2001 7 977
2001 8 943
2001 9 819
2001 10 186
2001 11 94
2001 12 28
2001 13 28
2001 14 13
2002 3 1187
2002 4 4190
2002 5 3147
2002 6 2970
2002 7 519
2002 8 820
2002 9 570
2002 10 309
2002 11 101
2002 12 27
2002 13 15
2002 14 11
2003 3 2284
2003 4 4363
2003 5 6031
2003 6 2472
2003 7 1942
2003 8 285
2003 9 438
2003 10 289
2003 11 196
2003 12 28
2003 13 29
2003 14 15
2004 3 952
2004 4 7841
2004 5 7195
2004 6 5363
2004 7 1563
2004 8 1057
2004 9 211
2004 10 224
2004 11 157
2004 12 74
2004 13 39
2004 14 11
2005 3 2607
2005 4 3089
2005 5 7333
2005 6 6876
2005 7 3592
2005 8 978
2005 9 642
2005 10 119
2005 11 149
2005 12 89
2005 13 46
2005 14 12
2006 3 1380
2006 4 10051
2006 5 2616
2006 6 5840
2006 7 4514
2006 8 1989
2006 9 667
2006 10 485
2006 11 118
2006 12 112
2006 13 86
2006 14 31
2007 3 1244
2007 4 6552
2007 5 8751
2007 6 2124
2007 7 2935
2007 8 1817
2007 9 964
2007 10 395
2007 11 190
2007 12 43
2007 13 36
2007 14 20
2008 3 1432
2008 4 3602
2008 5 5874
2008 6 6706
2008 7 1155
2008 8 1894
2008 9 1248
2008 10 803
2008 11 262
2008 12 176
2008 13 87
2008 14 44
2009 3 2820
2009 4 5166
2009 5 2084
2009 6 2734
2009 7 2883
2009 8 777
2009 9 1101
2009 10 847
2009 11 555
2009 12 203
2009 13 134
2009 14 36
2010 3 2146
2010 4 6284
2010 5 3058
2010 6 997
2010 7 1644
2010 8 1571
2010 9 514
2010 10 656
2010 11 522
2010 12 231
2010 13 114
2010 14 64
2011 3 2004
2011 4 4850
2011 5 4006
2011 6 1502
2011 7 677
2011 8 1065
2011 9 1145
2011 10 323
2011 11 433
2011 12 244
2011 13 150
2011 14 75
2012 3 1183
2012 4 4816
2012 5 3514
2012 6 2417
2012 7 903
2012 8 432
2012 9 883
2012 10 1015
2012 11 354
2012 12 277
2012 13 173
2012 14 99
2013 3 1163
2013 4 5538
2013 5 6366
2013 6 2963
2013 7 1610
2013 8 664
2013 9 375
2013 10 537
2013 11 460
2013 12 124
2013 13 118
2013 14 78
2014 3 668
2014 4 3499
2014 5 4867
2014 6 2805
2014 7 1276
2014 8 725
2014 9 347
2014 10 241
2014 11 312
2014 12 199
2014 13 128
2014 14 74
