Year Age Resid
2009 10 -0.12
2009 11 0.10
2009 12 0.42
2009 13 1.08
2009 14 2.54
2010 3 0.46
2010 4 0.28
2010 5 0.11
2010 6 -0.46
2010 7 0.03
2010 8 -0.12
2010 9 0.47
2010 10 -0.43
2010 11 0.07
2010 12 -0.06
2010 13 0.84
2010 14 1.18
2011 3 0.14
2011 4 -0.06
2011 5 -0.05
2011 6 -0.30
2011 7 -0.04
2011 8 0.29
2011 9 0.14
2011 10 0.36
2011 11 -0.24
2011 12 -0.01
2011 13 0.48
2011 14 1.41
2012 3 -0.57
2012 4 -0.37
2012 5 -0.27
2012 6 -0.20
2012 7 -0.24
2012 8 0.06
2012 9 0.66
2012 10 0.55
2012 11 1.38
2012 12 0.12
2012 13 0.55
2012 14 0.91
2013 3 -0.50
2013 4 -0.04
2013 5 0.33
2013 6 -0.02
2013 7 -0.19
2013 8 -0.11
2013 9 0.28
2013 10 0.12
2013 11 -0.36
2013 12 0.35
2013 13 -0.53
2013 14 0.01
2014 3 0.16
2014 4 -0.20
2014 5 0.50
2014 6 -0.04
2014 7 -0.22
2014 8 -0.37
2014 9 -0.24
2014 10 0.45
2014 11 0.28
2014 12 -0.38
2014 13 1.99
2014 14 0.16
